# Source NodeID,Target NodeID,EdgeID,Direction,Layer,name
5453b63555474a336231a4fa,5453b63555474a336231abc4,54b7bef855474a2bb274781f,TwoWay,train,RER B
5453b63455474a33623177e3,5453b63455474a3362318bde,54b7bef855474a2bb2747826,TwoWay,train,RER B
5453b63455474a336231900a,5453b63455474a336231749b,54b7bef855474a2bb2747827,TwoWay,train,RER B
5453b63555474a336231ae24,5453b63455474a336231824b,54b7bef855474a2bb2747829,TwoWay,train,RER B
5453b63455474a33623181e9,5453b63455474a336231755f,54b7bef855474a2bb274782b,TwoWay,train,RER B
5453b63455474a3362319a0d,5453b63555474a336231ae69,54b7bef855474a2bb274782c,TwoWay,train,RER A
5453b63455474a336231942c,5453b63455474a336231920a,54b7bef855474a2bb274782f,TwoWay,train,RER B
5453b63555474a336231a9a1,5453b63555474a336231ad7f,54b7bef855474a2bb2747b40,TwoWay,train,RER A
5453b63455474a3362318936,5453b63455474a3362319732,54b7bef855474a2bb2747deb,TwoWay,train,RER D
5453b63455474a3362318c41,5453b63455474a3362319581,54b7bef855474a2bb2747dec,TwoWay,train,RER D
5453b63555474a336231abe5,5453b63455474a3362319581,54b7bef855474a2bb2747ded,TwoWay,train,RER D
5453b63555474a336231abe5,5453b63555474a3362319e35,54b7bef855474a2bb2747dee,TwoWay,train,RER D
5453b63455474a33623195f7,5453b63455474a33623186b8,54b7bef855474a2bb2747def,TwoWay,train,RER D
5453b63455474a33623188cf,5453b63455474a33623186b8,54b7bef855474a2bb2747df0,TwoWay,train,RER D
5453b63455474a3362318203,5453b63455474a33623195f7,54b7bef855474a2bb2747df1,TwoWay,train,RER D
5453b63455474a3362318c91,5453b63555474a336231a277,54b7bef855474a2bb2747df2,TwoWay,train,RER D
5453b63455474a33623188f9,5453b63555474a336231a370,54b7bef855474a2bb2747df3,TwoWay,train,RER D
5453b63555474a3362319ff2,5453b63455474a3362319007,54b7bef855474a2bb2747df4,TwoWay,train,RER D
5453b63455474a3362319557,5453b63555474a336231a714,54b7bef855474a2bb2748230,TwoWay,train,RER C
5453b63455474a3362319557,5453b63455474a33623199e8,54b7bef855474a2bb2748231,TwoWay,train,RER C
5453b63555474a336231a2f9,5453b63455474a336231952a,54b7bef855474a2bb2748233,TwoWay,train,RER C
5453b63555474a336231a2f5,5453b63555474a336231abe1,54b7bef855474a2bb2748234,TwoWay,train,RER C
